DateTime,Predicted_CPU_Usage
2024-01-08 00:00:00,12.165992
2024-01-08 01:00:00,14.668605
2024-01-08 02:00:00,17.555887
2024-01-08 03:00:00,21.788687
2024-01-08 04:00:00,26.752672
2024-01-08 05:00:00,33.08886
2024-01-08 06:00:00,40.390007
2024-01-08 07:00:00,48.57548
2024-01-08 08:00:00,57.44
2024-01-08 09:00:00,66.30758
2024-01-08 10:00:00,73.24525
2024-01-08 11:00:00,76.02129
2024-01-08 12:00:00,72.89648
2024-01-08 13:00:00,63.67795
2024-01-08 14:00:00,50.03759
2024-01-08 15:00:00,41.492172
2024-01-08 16:00:00,32.333588
2024-01-08 17:00:00,25.111532
2024-01-08 18:00:00,19.060091
2024-01-08 19:00:00,14.301643
2024-01-08 20:00:00,11.176646
2024-01-08 21:00:00,9.278539
2024-01-08 22:00:00,8.82862
2024-01-08 23:00:00,9.554734
